Session ID,Title,Abstract,Start Time,End Time,Venue,Room,Speakers,Level,Content Type,Track,Industries,Special Event Type,Hash Tag,URL,Disclaimer
2564,Tableau Server 9 Qualification Exam,This exam is intended for those who have a comprehensive understanding of Tableau Server 9 functionality in a single-machine environment and approximately 4-6 months of experience. Typical roles include System Administrator or Consultant. You can begin this one hour exam anytime between 9AM and 3:30PM on this day. Please review the Exam Preparation Guide at www.tableau.com/certification before registering. Please note Conference exams are non-transferrable to online exams.,10/19/2015 9:00,10/19/2015 17:00,Conference Center Level 1,CC 109-110,,Intermediate,Certification Exam,N/A,,,,http://tc15.tableau.com/schedule/monday/#session-2564,Current as of: 09/10/2015 - 06:46 Subject to change.
1798,Tableau Desktop 9 Certification Exam,This exam is intended for those who have advanced knowledge and skills in Tableau Desktop 9 and the ability to apply visual analytics methodologies to help people see and understand data. You should have at least nine months of dedicated experience using Tableau Desktop prior to attempting the exam. You must begin this three hour exam at 3:15PM on this day. You must have achieved your Desktop 9 Qualified Associate title to take this exam. Please review the Exam Preparation Guide at www.tableau.com/certification before registering. Please note Conference exams are non-transferrable to online exams.,10/19/2015 9:00,10/19/2015 17:00,Conference Center Level 1,CC 111,,Advanced,Certification Exam,N/A,,,,http://tc15.tableau.com/schedule/monday/#session-1798,Current as of: 09/10/2015 - 06:46 Subject to change.
1800,Tableau Server 9 Qualification Exam,This exam is intended for those who have a comprehensive understanding of Tableau Server 9 functionality in a single-machine environment and approximately 4-6 months of experience. Typical roles include System Administrator or Consultant. You can begin this one hour exam anytime between 9AM and 3:30PM on this day. Please review the Exam Preparation Guide at www.tableau.com/certification before registering. Please note Conference exams are non-transferrable to online exams.,10/19/2015 9:00,10/19/2015 17:00,Conference Center Level 1,CC 111,,Intermediate,Certification Exam,N/A,,,,http://tc15.tableau.com/schedule/monday/#session-1800,Current as of: 09/10/2015 - 06:46 Subject to change.
1803,Tableau Server 9 Certification Exam,"This exam is intended for those who have a comprehensive understanding of Tableau Server 9 functionality in a single-machine and enterprise configuration. You should have at least nine months of hands-on Tableau Server experience. Typical roles include System Administrator, System Architect, IT Representative, Implementer, or Consultant. You must begin this seven hour exam at 9AM on this day. You must have achieved your Server 9 Qualified Associate title to take this exam. Please review the Exam Preparation Guide at www.tableau.com/certification before registering. Please note Conference exams are non-transferrable to online exams.",10/19/2015 9:00,10/19/2015 17:00,Conference Center Level 1,CC 111,,Advanced,Certification Exam,N/A,,,,http://tc15.tableau.com/schedule/monday/#session-1803,Current as of: 09/10/2015 - 06:46 Subject to change.
2553,Tableau Desktop 9 Certification Exam,This exam is intended for those who have advanced knowledge and skills in Tableau Desktop 9 and the ability to apply visual analytics methodologies to help people see and understand data. You should have at least nine months of dedicated experience using Tableau Desktop prior to attempting the exam. You must begin this three hour exam at 3:15PM on this day. You must have achieved your Desktop 9 Qualified Associate title to take this exam. Please review the Exam Preparation Guide at www.tableau.com/certification before registering. Please note Conference exams are non-transferrable to online exams.,10/19/2015 9:00,10/19/2015 17:00,Conference Center Level 1,CC 109-110,,Advanced,Certification Exam,N/A,,,,http://tc15.tableau.com/schedule/monday/#session-2553,Current as of: 09/10/2015 - 06:46 Subject to change.
2556,Tableau Desktop 9 Qualification Exam,This exam is intended for those who have comprehensive understanding of functionality in Tableau Desktop 9 and at least five months of applying this understanding in the product. You can begin this two hour exam anytime between 9AM and 2:30PM on this day. Please review the Exam Preparation Guide at www.tableau.com/certification before registering. Please note Conference exams are non-transferrable to online exams.,10/19/2015 9:00,10/19/2015 17:00,Conference Center Level 1,CC 111,,Intermediate,Certification Exam,N/A,,,,http://tc15.tableau.com/schedule/monday/#session-2556,Current as of: 09/10/2015 - 06:46 Subject to change.
2558,Tableau Desktop 9 Qualification Exam,This exam is intended for those who have comprehensive understanding of functionality in Tableau Desktop 9 and at least five months of applying this understanding in the product. You can begin this two hour exam anytime between 9AM and 2:30PM on this day. Please review the Exam Preparation Guide at www.tableau.com/certification before registering. Please note Conference exams are non-transferrable to online exams.,10/19/2015 9:00,10/19/2015 17:00,Conference Center Level 1,CC 109-110,,Intermediate,Certification Exam,N/A,,,,http://tc15.tableau.com/schedule/monday/#session-2558,Current as of: 09/10/2015 - 06:46 Subject to change.
627,Meetup: Data + Women,"Join us for the 2nd annual Data + Women Meetup at Tableau Conference.
This year we'll be featuring a remarkable panel of women&mdash;from industry leaders and humanitarians to Tableau viz whizzes&mdash;who all use data to build careers, serve communities, and save lives. Come celebrate achievements and accomplishments by women in data,and meet with a smaller group to discuss pressing topics generated by you, the community. Some of Tableau's best will team up with Zen Masters to help guide the conversation. And of course, we'll end the session with a networking hour.
Wondering if this session is for you? All are welcome to join. Are you a woman? Have a mother? A sister? A daughter? Work with women? Well, then you qualify. Please fill out this form if you are interested in attending. Please note that all of our meetups are filled on a first-come, first-served basis. Completing this form does not secure your seat in the meetup so we recommend arriving early to get your seat.
Can't make it to the meetup on Monday? No problem! We'll have activities throughout the week to continue the conversation of women in data and build on relationships made in the Monday meetup.",10/19/2015 14:30,10/19/2015 16:00,Grand Garden Arena Studio Rooms,ST-B,,N/A,Special Event,N/A,,Meetups,,http://tc15.tableau.com/schedule/monday/#session-627,Current as of: 09/10/2015 - 06:46 Subject to change.
618,Welcome Reception & Expo,"Kick off your week where networking meets Vegas nightlife featuring Tableau's finest DJs. Mix, mingle and meet new data loving friends at this indoor/outdoor party",10/19/2015 17:00,10/19/2015 20:00,Marquee Expo Hall,EXPO,,N/A,Special Event,N/A,,Receptions &amp; Parties,,http://tc15.tableau.com/schedule/monday/#session-618,Current as of: 09/10/2015 - 06:46 Subject to change.
2777,Tableau Keynote: Christian Chabot and Chris Stolte,"Hear from Tableau leaders, Christian Chabot and Chris Stolte.",10/20/2015 8:30,10/20/2015 10:30,Grand Garden Arena,GGA,,,Keynotes,N/A,,,,http://tc15.tableau.com/schedule/tuesday/#session-2777,Current as of: 09/10/2015 - 06:46 Subject to change.
778,Five Strategies for Working with #SocialMedia Data,"Every organization can get data about their social media presence. But deciding how to collect and use that data can be overwhelming. Never fear! In this session, Tableau's social media team will share their top strategies for working with data from multiple platforms. Learn where to access data, how to visualize it in meaningful ways, and ultimately how to make sense of both your organic and paid impact on social media.",10/20/2015 11:15,10/20/2015 12:15,Conference Center Annex,CCX 6,"James Carroll, Michelle Wallace",Intermediate,Breakout Sessions,Data,,,#TableauSocialData,http://tc15.tableau.com/schedule/tuesday/#session-778,Current as of: 09/10/2015 - 06:46 Subject to change.
788,Data in the Wild: Taming it in Tableau,"Survey data got you down? Trouble slicing data just the way you want? Can't make use of those quick table calculations? Why is it that sometimes data is easy to analyze in Tableau and other times it seems nearly impossible? This session will explore the wide variety of data out there in the world. We'll look at: Excel files with odd shapes; working with multiple flat files that contain separate 'chunks' of the same (or similar) data; and free tools that can help you collect, scrape, reformat, and edit data from the web and other sources, with the idea that all data should have the same chance to express itself!",10/20/2015 11:15,10/20/2015 12:15,Conference Center Level 1,CC 119,Erik Teutsch,Intermediate,Breakout Sessions,Data,,,#WildData,http://tc15.tableau.com/schedule/tuesday/#session-788,Current as of: 09/10/2015 - 06:46 Subject to change.
1829,Fostering a Culture Change at Consolidated Edison with Tableau,"Consolidated Edison, Inc. (ConEd) is one of the nation's largest investor-owned energy companies, with approximately $13 billion in annual revenues and $44 billion in assets. ConEd of New York provides electric service to approximately 3.3 million customers and gas service to approximately 1.1 million customers in New York City and Westchester County.
By using Tableau to explore our data, and not just report it, we discovered that our performance in key areas was significantly below goal. Specifically, we thought we were reaching our target dates 80% of the time, but in using Tableau, we discovered that we were only hitting our goal 53% of the time.
Since discovering this discrepancy, we&rsquo;ve rolled out Tableau &ldquo;just-in-time&rdquo; dashboards so that key stakeholders can monitor performance on a daily basis. The result? ConEd is hitting its goal in key areas 99% percent of the time, yielding significant improvements in performance and customer satisfaction.
In this session, attendees will see how ConEd uses Tableau to discover problem areas, see the dashboards we use to ensure timely performance, and learn how we are expanding Tableau into other areas of the organization.",10/20/2015 11:15,10/20/2015 12:15,Conference Center Level 1,CC 122,Arvin Goberdhan,Intermediate,Breakout Sessions,Customer Session,Communication & Utilities,,#ConEdData,http://tc15.tableau.com/schedule/tuesday/#session-1829,Current as of: 09/10/2015 - 06:46 Subject to change.
1328,Dashboards & Dreams at Des Moines Public Schools: Leveraging Tableau Dashboards for K-12,"Explore the benefits of Tableau-driven decision making in a K-12 environment. Des Moines Public Schools has developed myriad dashboards used by administrators, teachers, and data teams to drive instructional decisions. Tableau has provided Des Moines Schools&rsquo; staff members access to real-time data, allowing them to monitor student progress and make decisions in a timely manner. This session will showcase a number of visualizations created and used in a leading urban school district.&nbsp; Dashboards will include content related to student achievement, standards referenced grading, disproportionality, demographics, behavior, longitudinal assessment, and health and school boundaries.&nbsp;",10/20/2015 11:15,10/20/2015 12:15,Conference Center Level 2,CC 205,"Kimberly Martorano, Gene Denny, Margaret Neve",Intermediate,Breakout Sessions,Customer Session,Education,,#DesMoinesData,http://tc15.tableau.com/schedule/tuesday/#session-1328,Current as of: 09/10/2015 - 06:46 Subject to change.
1078,Tableau Server Tips from a Deployment Advisor,"Join us for a discussion of real-world workflow examples from the perspective of a deployment advisor. In this session, we will cover common mistakes and how to avoid them by making the best use of Tableau server features. We will also discuss&nbsp;templates, the development cycle, when to use sites or projects, data server, and team collaboration, in addition to the best practices for deploying a virtual machine (VM).",10/20/2015 11:15,10/20/2015 12:15,Conference Center Annex,CCX 5,"Chris Harris, Kevin Hulbert, Luke Stock",Advanced,Breakout Sessions,IT,,,#ServerTips,http://tc15.tableau.com/schedule/tuesday/#session-1078,Current as of: 09/10/2015 - 06:46 Subject to change.
823,"NoSQL, No Problem: Working with Unstructured Data in Tableau","So you've mastered relational data and you're ready to up-level your big data game to visualize unstructured data in Tableau&ndash;this session is for you! In this session, we will review the challenges of working with unstructured data in Tableau as well as share practical approaches and tips for working data stored in NoSQL databases including MongoDB and Neo4J, or accessing unstructured data using Apache Drill.",10/20/2015 11:15,10/20/2015 12:15,Conference Center Level 1,CC118,"Jeff Feng, Jim Haynie, Jazmyn Li",Advanced,Breakout Sessions,Data,,,#UnstructuredData,http://tc15.tableau.com/schedule/tuesday/#session-823,Current as of: 09/10/2015 - 06:46 Subject to change.
828,Optimizing Live Query Performance with the TPCH and TPCDS Benchmarks,Speed up existing worksheets. Answer questions you never thought possible.&nbsp;Make your worksheet sing using the TPCH and TPCDS database benchmarks&nbsp;to&nbsp;see how to get the fastest answers to business questions on large data sets.,10/20/2015 11:15,10/20/2015 12:15,Conference Center Level 1,CC 120,Dan Cory,Jedi,Breakout Sessions,Data,,,#OptimizeLiveQuery,http://tc15.tableau.com/schedule/tuesday/#session-828,Current as of: 09/10/2015 - 06:46 Subject to change.
1613,How Amazon Robotics Keeps the Factory Humming with Predictive Models in Tableau,"Have you ever run out of something? Do you need to order things now that will be needed by a certain date? What could you make right now with what you have? These seemingly simple problems can get complicated, whether you are a chef planning a shopping list, or a supply chain planner for a factory. Special functions in Tableau can help you build a visual model of future supply and demand, so you will know if all your bases are covered. In this session, we will create a 'can build' dashboard on the fly, demonstrating algorithms for tracking future inventory levels and ways to enable what-if scenarios.&nbsp;",10/20/2015 11:15,10/20/2015 12:15,Conference Center Level 1,CC 121,Robert McCauley,Intermediate,Breakout Sessions,Customer Session,Manufacturing,,#AmazonData,http://tc15.tableau.com/schedule/tuesday/#session-1613,Current as of: 09/10/2015 - 06:46 Subject to change.
1113,Double Down on Data Server: Save your Sanity,"Are you rolling snake eyes when trying to reduce the time it takes move from raw data to a fabulous viz? With Tableau Data Server up your sleeve, you can double down on your Tableau implementation and be rolling big time in no time. If you're looking to:

Share your wealth of calculations with everyone&ndash;provide centralized management of your metadata
Make sure only the VIPs pony up to certain data tables&ndash;simplify and secure how your users access data&nbsp;
Deliver platinum quality extracts on time without any waste&nbsp;

Then you need to step up your game with Tableau Data Server. By the end of this session, you'll know how to create, modify, use and manage data sources, and you'll hear real stories of how Data Server has added value for customers, including how Tableau uses data sources internally. Once you've become a master of Tableau Data Server, you'll be playing as the house, and the house ALWAYS wins. Just remember: ""Luck is what happens when preparation meets opportunity"".",10/20/2015 11:15,10/20/2015 12:15,Conference Center Annex,CCX 8,"Bryant Howell, Bec Powell, Erin Stevens",Intermediate,Breakout Sessions,IT,,,#DoubleDownDataServer,http://tc15.tableau.com/schedule/tuesday/#session-1113,Current as of: 09/10/2015 - 06:46 Subject to change.
1628,Business Intelligence 360 at Boston Scientific: Moving from Traditional BI to Tableau with SAP HANA,"This session will cover how Boston Scientific, a leading global medical device company, empowers thousands of its sales personnel around the world to analyze and share key business insights by leveraging Tableau with SAP HANA.
Combining Tableau data discovery and dashboards with HANA&rsquo;s high speed in-memory database provided a complete user experience promoting self-service data discovery and mobile analytics. The solution leverages Tableau&rsquo;s live SAP HANA connection and Tableau&rsquo;s built-in metadata capabilities to transform HANA&rsquo;s complexity into high performance data analytics.",10/20/2015 11:15,10/20/2015 12:15,Grand Garden Arena Studio Rooms,ST-A,Kaitlyn Bliss,Intermediate,Breakout Sessions,Customer Session,Healthcare & Pharmaceuticals,,#BostonSciData,http://tc15.tableau.com/schedule/tuesday/#session-1628,Current as of: 09/10/2015 - 06:46 Subject to change.
1373,How BlueCross BlueShield of North Carolina Reaches New Heights with Tableau,"Senior Informatics Analyst and avid Tableau user Jasper Harris has teamed up with Senior VizTeam engineer Ashok Patro to discuss and demonstrate the various ways Tableau has been a catalyst for change at BlueCross BlueShield of North Carolina (BCBSNC). The pair will start by walking how the Analytics COE has evolved and matured with the help of the VizTeam, which provides enterprise-wide support for Tableau Desktop and Tableau Server users.
Jasper and Ashok will demonstrate a number of successful Tableau applications to show how BCBSNC has moved beyond traditional reporting, using Tableau for operational intelligence and by leveraging Tableau Server for self-service data discovery.&nbsp;",10/20/2015 11:15,10/20/2015 12:15,Grand Garden Annex,GGX 1,"Jasper Harris, Ashok Patro",Beginner,Breakout Sessions,Customer Session,Healthcare & Pharmaceuticals,,#BCBSData,http://tc15.tableau.com/schedule/tuesday/#session-1373,Current as of: 09/10/2015 - 06:46 Subject to change.
619,Meetup: All About That Beta,"At Tableau, we love to have our customers test and provide feedback on new features before we release them. Our beta programs are critical to successful releases and successful products, and they are a great opportunity for you to get hands on and try out new features. Drop by the Beta Team Meetup to learn more about betas at Tableau, find out about the next release, sign up to participate in beta programs, or give us feedback on your past beta experience so we can keep improving the program for you.&nbsp;This is an open session happening from 11:15 AM - 12:15 PM.",10/20/2015 11:15,10/20/2015 12:15,Marquee Expo Hall,EXPO,,N/A,Special Event,N/A,,Meetups,,http://tc15.tableau.com/schedule/tuesday/#session-619,Current as of: 09/10/2015 - 06:46 Subject to change.
620,Meetup: Rock the Docs!,"We write the docs that make the whole world sing-or at least we try to. The Tableau Documentation would love to hear from you. If you are creating data visualizations with Tableau Desktop, programming with Tableau's API's, or perhaps you are administering a Tableau Server deployment, we invite you to attend this meet up and tap into the writing master minds behind Tableau's technical content.&nbsp;This is an open session happening from 11:15 AM - 12:15 PM.",10/20/2015 11:15,10/20/2015 12:15,Marquee Expo Hall,EXPO,,N/A,Special Event,N/A,,Meetups,,http://tc15.tableau.com/schedule/tuesday/#session-620,Current as of: 09/10/2015 - 06:46 Subject to change.
621,Meetup: Dashboards & Formatting: How Do You Create?,"Come and meet the Tableau Dashboards and Formatting Devs! Data analysis is a creative process. Share with us your creative insights and, in turn, learn a little about how we develop features. Here some of the things we'd like to learn about: What makes an effective and beautiful dashboard? What are your Tableau formatting best practices and helpful tips? What are you biggest challenges and frustrations? How do you design dashboards for mobile? You don't have to be a Zen master. One and all are welcome!&nbsp;This is an open session happening from 11:15 AM - 12:15 PM.",10/20/2015 11:15,10/20/2015 12:15,Marquee Expo Hall,EXPO,,N/A,Special Event,N/A,,Meetups,,http://tc15.tableau.com/schedule/tuesday/#session-621,Current as of: 09/10/2015 - 06:46 Subject to change.
622,Meetup: Tableau Deployment and License Management,"If you have had challenges with managing and tracking licenses, this is the meetup for you. The Tableau Dev team would like to learn about your deployment and how you manage licenses. We would like to understand the challenges you are facing and give you the opportunity to shape our roadmap of licensing features.&nbsp;This is an open session happening from 11:15 AM - 12:15 PM.",10/20/2015 11:15,10/20/2015 12:15,Marquee Expo Hall,EXPO,,N/A,Special Event,N/A,,Meetups,,http://tc15.tableau.com/schedule/tuesday/#session-622,Current as of: 09/10/2015 - 06:46 Subject to change.
878,How to Excel with Tableau,"Back by popular demand, Tableau experts Charles and Dustin explain how to pivot Excel skills into Tableau mastery.&nbsp;Are you in a love-hate relationship with Excel? Frustrated and feeling like you're not moving forward? Bring back the romance. Let Excel do what Excel is good at. Move the analytic tasks you depend on and supercharge them in Tableau. This session will cover not only how to duplicate and improve Excel functionality in Tableau, but how to move beyond the constraints of rows and columns. Join us and repair your relationship with Excel. There's a happy world of dynamic, interactive analytics waiting for you.",10/20/2015 11:15,10/20/2015 12:15,Conference Center Level 3,CC 310,"Charles Schaefer, Dustin Smith",Beginner,Breakout Sessions,Analytics,,,#ExcelWithTableau,http://tc15.tableau.com/schedule/tuesday/#session-878,Current as of: 09/10/2015 - 06:46 Subject to change.
623,Meetup: Mappy Hour,Are you a map a fellow map geek? The Maps team would love to meet you and learn more about how you are using Maps in Tableau and how we make it easier for you to see and understand your spatial data.&nbsp;Feel free to drop in for this session happening during lunch.,10/20/2015 11:15,10/20/2015 12:15,Marquee Expo Hall,EXPO,,N/A,Special Event,N/A,,Meetups,,http://tc15.tableau.com/schedule/tuesday/#session-623,Current as of: 09/10/2015 - 06:46 Subject to change.
626,Meetup: Tableau Public,"Do you use Tableau Public? Work with publicly available data and want to share that with others on the web? Come meet the developers behind the Tableau Public team. Share with us what you do, how you go about building those amazing data stories, and all the crazy things you wish you could do, if only we just did that one thing.&nbsp;This is an open session happening from 11:15 AM - 12:15 PM.",10/20/2015 11:15,10/20/2015 12:15,Marquee Expo Hall,EXPO,,N/A,Special Event,N/A,,Meetups,,http://tc15.tableau.com/schedule/tuesday/#session-626,Current as of: 09/10/2015 - 06:46 Subject to change.
883,Tableau Tips for Beginners,"Are you new to Tableau? Or just curious about how to build views a bit quicker? Maybe you've created a few workbooks and you've learned how to follow a recipe that someone showed you. That recipe gives you useful results, but now you want to start doing more, become more spontaneous and creative, and start down the road to really mastering the art of Tableau.
In this session, we'll show you some powerful tips that will help you do just that. In this session you will learn about:

Preparing your data in Tableau
Creating dynamic views
Customizing the fields in your data
Linking from views to the web
Sharing views in Tableau Server",10/20/2015 11:15,10/20/2015 12:15,Conference Center Level 1,CC 124,"Nancy Matthew, Samantha Blann",Beginner,Breakout Sessions,Analytics,,,#BeginnerTips,http://tc15.tableau.com/schedule/tuesday/#session-883,Current as of: 09/10/2015 - 06:46 Subject to change.
1428,How OI Analyzes Data More Efficiently With Tableau,"Building a single source of truth is a big challenge. This is even truer when your organization has more than 70 million customers with a broad product portfolio in a complex environment. The task becomes nearly impossible! The introduction of Tableau enabled us to not only create a source of truth, but provide information to the OI Executives in less time than before, providing insight and creating opportunities. This is exactly what OI needed, one real true number across the entire company to provide better analysis to improve our business. In this session you will see how we transformed the way we deliver information with innovation and Tableau.",10/20/2015 11:15,10/20/2015 12:15,Conference Center Level 2,CC 202,Raphael Stein,Beginner,Breakout Sessions,Customer Session,Communication & Utilities,,#OIdata,http://tc15.tableau.com/schedule/tuesday/#session-1428,Current as of: 09/10/2015 - 06:46 Subject to change.
1178,Extreme Viz Makeover,"In this highly interactive course, attendees will work as a group to review multiple visualizations and learn visual best practices. We'll experiment by changing chart types, colors, interactions, and other elements to understand what makes a great dashboard.",10/20/2015 11:15,10/20/2015 12:15,Conference Center Level 1,CC 116,"Kate Hotler, Tara Walker",Beginner,Breakout Sessions,Data Storytelling,,,#ExtremeViz,http://tc15.tableau.com/schedule/tuesday/#session-1178,Current as of: 09/10/2015 - 06:46 Subject to change.
938,Programming Tableau: Introduction to Tableau APIs,"You already know how to work with the Tableau UI, and you probably also use tabcmd and tabadmin. Did you know that you can program against Tableau directly? In this session, we will give you an introduction to the growing family of Tableau programming interfaces. You'll see how to use the REST API for managing content on Tableau Server, and how to use the JavaScript API for working directly with views in the browser. You'll also learn&nbsp;how you can use the Tableau SDK for creating and publishing extracts, and how web data connectors let you use JavaScript to program your own data connections.",10/20/2015 11:15,10/20/2015 12:15,Conference Center Annex,CCX 9,"Mike Pope, Ben Lower",Intermediate,Breakout Sessions,Developer,,,#IntroAPIS,http://tc15.tableau.com/schedule/tuesday/#session-938,Current as of: 09/10/2015 - 06:46 Subject to change.
2479,I Didn't Know You Could Do That With Tableau: One Zen Master's Journey,"Join Tableau Zen Master Mark Jackson as he takes you on the&nbsp;journey he took to discover&nbsp;the magic of Tableau. He wasn&rsquo;t always a believer. In fact, he was a regular consumer of Excel Kool-Aid and huge skeptic of the promises of other BI vendors. Six months after attending visualization rehab and suffering a few Excel relapses, his eyes were opened to the fact that pretty much any data experience you can imagine is possible with Tableau. Imagine not being bound to out of the box visualizations. Imagine full audiovisual experiences. Imagine game development. Come and experience the amazing things that you probably thought were impossible and begin to dream again.",10/20/2015 11:15,10/20/2015 12:15,Grand Garden Arena Studio Rooms,ST-B,Mark Jackson,Intermediate,Breakout Sessions,Zen Master Session,,,#ZenJourney,http://tc15.tableau.com/schedule/tuesday/#session-2479,Current as of: 09/10/2015 - 06:46 Subject to change.
